	counts
MFSD8	106.0
ABHD18	89.0
LARP1B	91.0
PGRMC2	662.0
JADE1	160.0
SCLT1	54.0
C4orf33	66.0
PCDH10	1.0
PABPC4L	10.0
PCDH18	31.0
SLC7A11	32.0
NOCT	7.0
ELF2	129.0
MGARP	11.0
NDUFC1	1777.0
NAA15	89.0
RAB33B	53.0
SETD7	165.0
MGST2	779.0
MAML3	51.0
SCOC	678.0
CLGN	295.0
MGAT4D	0.0
ELMOD2	307.0
UCP1	0.0
TBC1D9	114.0
RNF150	229.0
ZNF330	245.0
IL15	60.0
INPP4B	25.0
USP38	159.0
GAB1	44.0
SMARCA5	674.0
FREM3	0.0
GYPE	0.0
GYPB	0.0
GYPA	0.0
HHIP	39.0
ANAPC10	113.0
ABCE1	330.0
OTUD4	255.0
SMAD1	179.0
MMAA	24.0
C4orf51	0.0
ZNF827	125.0
LSM6	450.0
REELD1	1.0
SLC10A7	29.0
POU4F2	0.0
TTC29	1.0
EDNRA	88.0
TMEM184C	105.0
PRMT9	44.0
ARHGAP10	19.0
NR3C2	10.0
IQCM	0.0
DCLK2	18.0
LRBA	246.0
MAB21L2	2.0
RPS3A	27452.0
SH3D19	318.0
PRSS48	1.0
FHIP1A	23.0
GATB	107.0
FBXW7	135.0
TMEM154	17.0
TIGD4	3.0
ARFIP1	221.0
FHDC1	103.0
TRIM2	475.0
MND1	73.0
TMEM131L	49.0
TLR2	107.0
RNF175	2.0
SFRP2	2472.0
DCHS2	4.0
PLRG1	268.0
FGB	0.0
FGA	0.0
FGG	0.0
LRAT	15.0
RBM46	1.0
NPY2R	0.0
MAP9	165.0
GUCY1A1	27.0
GUCY1B1	134.0
ASIC5	0.0
TDO2	128.0
CTSO	164.0
PDGFC	515.0
GLRB	69.0
GRIA2	19.0
GASK1B	270.0
TMEM144	87.0
RXFP1	5.0
C4orf46	90.0
ETFDH	80.0
PPID	210.0
FNIP2	94.0
C4orf45	0.0
RAPGEF2	106.0
FSTL5	3.0
NAF1	33.0
NPY1R	1.0
NPY5R	0.0
TKTL2	0.0
TMA16	195.0
MARCHF1	116.0
SMIM31	0.0
APELA	7.0
TRIM61	13.0
TRIM60	0.0
TRIM75	0.0
TMEM192	155.0
KLHL2	144.0
GK3	0.0
MSMO1	332.0
CPE	1664.0
TLL1	9.0
SPOCK3	0.0
ANXA10	0.0
DDX60	169.0
DDX60L	76.0
PALLD	497.0
CBR4	114.0
SH3RF1	229.0
NEK1	69.0
CLCN3	208.0
HPF1	202.0
MFAP3L	50.0
AADAT	41.0
GALNTL6	0.0
GALNT7	256.0
HMGB2	715.0
SAP30	90.0
SCRG1	5.0
HAND2	46.0
FBXO8	118.0
CEP44	90.0
HPGD	1.0
GLRA3	2.0
ADAM29	0.0
GPM6A	1.0
WDR17	11.0
SPATA4	3.0
ASB5	0.0
SPCS3	713.0
VEGFC	40.0
NEIL3	20.0
AGA	130.0
TENM3	77.0
DCTD	341.0
WWC2	108.0
CLDN22	4.0
CLDN24	0.0
CDKN2AIP	157.0
ING2	91.0
RWDD4	163.0
TRAPPC11	176.0
STOX2	56.0
ENPP6	1.0
IRF2	113.0
CASP3	273.0
PRIMPOL	142.0
CENPU	83.0
ACSL1	339.0
HELT	0.0
SLC25A4	401.0
CFAP97	142.0
SNX25	78.0
LRP2BP	10.0
ANKRD37	133.0
UFSP2	170.0
C4orf47	46.0
CCDC110	23.0
PDLIM3	920.0
SORBS2	113.0
TLR3	47.0
FAM149A	23.0
CYP4V2	32.0
KLKB1	1.0
F11	0.0
MTNR1A	1.0
FAT1	228.0
ZFP42	3.0
TRIML2	1.0
TRIML1	0.0
FRG1	311.0
FRG2	0.0
DUX4	0.0
PLEKHG4B	146.0
LRRC14B	0.0
CCDC127	152.0
SDHA	439.0
PDCD6	1451.0
AHRR	17.0
EXOC3	260.0
SLC9A3	2.0
CEP72	49.0
TPPP	13.0
ZDHHC11B	71.0
ZDHHC11	47.0
BRD9	250.0
TRIP13	97.0
NKD2	62.0
SLC12A7	227.0
SLC6A19	0.0
SLC6A18	0.0
TERT	2.0
CLPTM1L	816.0
SLC6A3	2.0
LPCAT1	289.0
MRPL36	982.0
NDUFS6	1366.0
IRX4	1.0
IRX2	1.0
IRX1	2.0
ADAMTS16	40.0
ICE1	236.0
MED10	496.0
UBE2QL1	34.0
NSUN2	154.0
SRD5A1	88.0
TENT4A	209.0
ADCY2	38.0
CFAP90	25.0
MTRR	106.0
FASTKD3	57.0
SEMA5A	82.0
TAS2R1	0.0
ATPSCKMT	70.0
CCT5	1208.0
CMBL	74.0
MARCHF6	813.0
ROPN1L	6.0
ANKRD33B	30.0
DAP	725.0
CTNND2	3.0
DNAH5	15.0
TRIO	422.0
OTULINL	55.0
OTULIN	81.0
ANKH	564.0
FBXL7	24.0
MARCHF11	2.0
ZNF622	313.0
RETREG1	72.0
MYO10	479.0
BASP1	402.0
LINC02218	0.0
H3Y2	2.0
TAF11L2	0.0
TAF11L3	0.0
TAF11L4	0.0
TAF11L5	0.0
TAF11L6	0.0
TAF11L7	0.0
TAF11L8	0.0
TAF11L9	0.0
TAF11L10	0.0
TAF11L11	0.0
TAF11L12	0.0
TAF11L13	0.0
TAF11L14	0.0
H3Y1	19.0
CDH18	2.0
CDH12	32.0
PRDM9	0.0
CDH10	0.0
CDH9	0.0
CDH6	2308.0
DROSHA	312.0
C5orf22	133.0
PDZD2	173.0
GOLPH3	709.0
MTMR12	277.0
ZFR	959.0
SUB1	3614.0
NPR3	20.0
TARS1	515.0
ADAMTS12	88.0
RXFP3	0.0
SLC45A2	1.0
AMACR	60.0
C1QTNF3	345.0
RAI14	315.0
TTC23L	4.0
RAD1	147.0
BRIX1	204.0
DNAJC21	251.0
AGXT2	0.0
PRLR	4.0
SPEF2	83.0
IL7R	37.0
CAPSL	11.0
UGT3A1	0.0
UGT3A2	1.0
LMBRD2	95.0
SKP2	77.0
NADK2	192.0
RANBP3L	14.0
SLC1A3	64.0
NIPBL	313.0
CPLANE1	93.0
NUP155	165.0
WDR70	78.0
GDNF	1.0
EGFLAM	83.0
LIFR	103.0
OSMR	360.0
RICTOR	172.0
FYB1	99.0
C9	1.0
DAB2	206.0
TTC33	93.0
PTGER4	37.0
PRKAA1	222.0
RPL37	10144.0
CARD6	20.0
C7	31.0
MROH2B	0.0
C6	0.0
PLCXD3	0.0
OXCT1	79.0
RIMOC1	116.0
FBXO4	55.0
GHR	12.0
CCDC152	42.0
SELENOP	1847.0
ANXA2R	14.0
ZNF131	132.0
NIM1K	0.0
HMGCS1	287.0
CCL28	82.0
TMEM267	105.0
C5orf34	20.0
PAIP1	718.0
NNT	315.0
FGF10	4.0
MRPS30	139.0
HCN1	0.0
EMB	101.0
PARP8	133.0
ISL1	3.0
PELO	183.0
ITGA1	353.0
ITGA2	54.0
MOCS2	166.0
FST	32.0
NDUFS4	537.0
ARL15	39.0
HSPB3	5.0
SNX18	207.0
ESM1	107.0
GZMK	10.0
GZMA	52.0
CDC20B	0.0
GPX8	410.0
MCIDAS	1.0
CCNO	35.0
DHX29	142.0
MTREX	253.0
PLPP1	150.0
SLC38A9	76.0
DDX4	0.0
IL31RA	3.0
IL6ST	524.0
ANKRD55	0.0
MAP3K1	288.0
SETD9	41.0
MIER3	119.0
GPBP1	674.0
ACTBL2	2.0
PLK2	171.0
GAPT	5.0
RAB3C	0.0
PDE4D	81.0
DEPDC1B	139.0
ELOVL7	53.0
ERCC8	58.0
NDUFAF2	359.0
SMIM15	303.0
ZSWIM6	149.0
KIF2A	262.0
DIMT1	173.0
IPO11	112.0
LRRC70	0.0
HTR1A	0.0
RNF180	16.0
RGS7BP	1.0
SHISAL2B	2.0
SREK1IP1	431.0
CWC27	107.0
ADAMTS6	7.0
CENPK	55.0
PPWD1	138.0
TRIM23	128.0
TRAPPC13	162.0
SHLD3	20.0
SGTB	90.0
NLN	94.0
ERBIN	444.0
SREK1	408.0
MAST4	96.0
CD180	25.0
PIK3R1	149.0
SLC30A5	402.0
CCNB1	362.0
CENPH	46.0
MRPS36	457.0
CDK7	184.0
CCDC125	80.0
AK6	191.0
TAF9	333.0
RAD17	154.0
MARVELD2	157.0
OCLN	373.0
GTF2H2C	13.0
SERF1B	10.0
SMN2	23.0
SERF1A	4.0
SMN1	29.0
NAIP	119.0
GTF2H2	13.0
BDP1	144.0
MCCC2	324.0
CARTPT	9.0
MAP1B	199.0
MRPS27	196.0
PTCD2	41.0
ZNF366	0.0
TNPO1	469.0
FCHO2	117.0
TMEM171	8.0
TMEM174	0.0
FOXD1	1.0
BTF3	3457.0
ANKRA2	155.0
UTP15	78.0
ARHGEF28	62.0
ENC1	262.0
HEXB	540.0
GFM2	108.0
NSA2	489.0
FAM169A	14.0
GCNT4	2.0
ANKRD31	19.0
HMGCR	278.0
CERT1	352.0
POLK	102.0
ANKDD1B	2.0
POC5	53.0
SV2C	0.0
IQGAP2	32.0
F2RL2	0.0
F2R	670.0
F2RL1	178.0
S100Z	2.0
CRHBP	1.0
AGGF1	275.0
ZBED3	54.0
PDE8B	6.0
WDR41	198.0
OTP	0.0
TBCA	2123.0
AP3B1	160.0
SCAMP1	211.0
LHFPL2	169.0
ARSB	81.0
DMGDH	11.0
BHMT2	2.0
BHMT	0.0
JMY	109.0
HOMER1	77.0
TENT2	197.0
CMYA5	42.0
MTX3	161.0
THBS4	8.0
SERINC5	482.0
SPZ1	0.0
ZFYVE16	197.0
FAM151B	6.0
ANKRD34B	4.0
DHFR	178.0
MSH3	47.0
RASGRF2	31.0
CKMT2	18.0
ZCCHC9	211.0
ACOT12	0.0
SSBP2	112.0
ATG10	77.0
RPS23	15063.0
TMEM167A	747.0
XRCC4	102.0
VCAN	3173.0
HAPLN1	32.0
EDIL3	106.0
COX7C	6079.0
RASA1	176.0
CCNH	115.0
TMEM161B	54.0
MEF2C	53.0
CETN3	203.0
MBLAC2	49.0
POLR3G	14.0
LYSMD3	143.0
ADGRV1	16.0
ARRDC3	358.0
NR2F1	85.0
FAM172A	143.0
POU5F2	6.0
KIAA0825	10.0
SLF1	30.0
MCTP1	15.0
FAM81B	3.0
SKIC3	456.0
ARSK	31.0
GPR150	1.0
RFESD	40.0
SPATA9	2.0
RHOBTB3	201.0
GLRX	137.0
ELL2	247.0
PCSK1	0.0
CAST	523.0
ERAP1	403.0
ERAP2	242.0
LNPEP	302.0
LIX1	70.0
RIOK2	135.0
RGMB	86.0
CHD1	157.0
FAM174A	149.0
ST8SIA4	110.0
SLCO4C1	6.0
SLCO6A1	0.0
PAM	536.0
GIN1	25.0
PPIP5K2	242.0
MACIR	65.0
NUDT12	91.0
EFNA5	109.0
FBXL17	138.0
FER	71.0
PJA2	324.0
MAN2A1	165.0
TMEM232	5.0
SLC25A46	170.0
TSLP	3.0
WDR36	114.0
CAMK4	13.0
STARD4	119.0
NREP	573.0
EPB41L4A	55.0
APC	88.0
SRP19	466.0
REEP5	1077.0
DCP2	294.0
MCC	41.0
TSSK1B	0.0
YTHDC2	103.0
KCNN2	3.0
TRIM36	16.0
PGGT1B	77.0
CCDC112	85.0
FEM1C	85.0
TICAM2	36.0
TMED7	677.0
CDO1	8.0
ATG12	366.0
AP3S1	382.0
LVRN	0.0
ARL14EPL	1.0
COMMD10	197.0
SEMA6A	88.0
DTWD2	58.0
DMXL1	265.0
TNFAIP8	65.0
HSD17B4	276.0
FAM170A	0.0
PRR16	8.0
FTMT	0.0
SRFBP1	41.0
LOX	1414.0
ZNF474	0.0
ENSG00000250803	0.0
SNCAIP	41.0
SNX2	400.0
SNX24	93.0
PPIC	465.0
PRDM6	28.0
CEP120	82.0
CSNK1G3	183.0
ZNF608	67.0
GRAMD2B	144.0
ALDH7A1	444.0
PHAX	227.0
TEX43	0.0
LMNB1	144.0
MARCHF3	16.0
C5orf63	90.0
MEGF10	7.0
PRRC1	380.0
CTXN3	0.0
CCDC192	2.0
SLC12A2	217.0
FBN2	97.0
SLC27A6	85.0
ISOC1	111.0
ADAMTS19	1.0
MINAR2	0.0
CHSY3	34.0
HINT1	4931.0
LYRM7	114.0
CDC42SE2	457.0
RAPGEF6	100.0
FNIP1	210.0
MEIKIN	2.0
ACSL6	3.0
IL3	0.0
CSF2	0.0
P4HA2	388.0
PDLIM4	94.0
SLC22A4	37.0
SLC22A5	68.0
IRF1	281.0
IL5	0.0
RAD50	254.0
IL13	0.0
IL4	0.0
KIF3A	89.0
CCNI2	3.0
SEPTIN8	203.0
SOWAHA	38.0
SHROOM1	73.0
GDF9	14.0
UQCRQ	5715.0
LEAP2	8.0
AFF4	551.0
ZCCHC10	274.0
HSPA4	407.0
FSTL4	3.0
C5orf15	780.0
VDAC1	757.0
TCF7	23.0
SKP1	3193.0
PPP2CA	463.0
CDKL3	19.0
UBE2B	775.0
CDKN2AIPNL	130.0
JADE2	57.0
SAR1B	330.0
SEC24A	324.0
CAMLG	458.0
DDX46	363.0
C5orf24	387.0
TXNDC15	287.0
PCBD2	111.0
CATSPER3	2.0
PITX1	59.0
MACROH2A1	819.0
DCANP1	0.0
TIFAB	1.0
SLC25A48	5.0
NEUROG1	0.0
CXCL14	441.0
IL9	0.0
LECT2	0.0
TGFBI	2469.0
SMAD5	301.0
SMIM32	0.0
TRPC7	0.0
SPOCK1	74.0
KLHL3	31.0
HNRNPA0	1110.0
MYOT	0.0
PKD2L2	2.0
FAM13B	207.0
WNT8A	0.0
NME5	23.0
BRD8	612.0
KIF20A	102.0
CDC23	154.0
GFRA3	0.0
CDC25C	19.0
FAM53C	172.0
KDM3B	194.0
REEP2	13.0
EGR1	120.0
ETF1	418.0
HSPA9	1024.0
CTNNA1	1485.0
LRRTM2	0.0
SIL1	277.0
MATR3	1409.0
PAIP2	705.0
SLC23A1	15.0
MZB1	9.0
PROB1	19.0
SPATA24	43.0
DNAJC18	48.0
ECSCR	42.0
SMIM33	0.0
STING1	183.0
UBE2D2	711.0
CXXC5	1692.0
PSD2	4.0
NRG2	19.0
PURA	312.0
IGIP	143.0
CYSTM1	689.0
PFDN1	468.0
HBEGF	33.0
SLC4A9	3.0
ANKHD1	374.0
SRA1	381.0
EIF4EBP3	337.0
APBB3	114.0
SLC35A4	248.0
CD14	1102.0
NDUFA2	2288.0
TMCO6	43.0
IK	509.0
WDR55	167.0
DND1	6.0
HARS1	205.0
HARS2	137.0
ZMAT2	435.0
PCDHA1	0.0
PCDHA2	0.0
PCDHA3	0.0
PCDHA4	2.0
PCDHA5	3.0
PCDHA6	21.0
PCDHA7	6.0
PCDHA8	0.0
PCDHA9	1.0
PCDHA10	31.0
PCDHA11	1.0
PCDHA12	7.0
PCDHA13	1.0
PCDHAC1	3.0
PCDHAC2	0.0
PCDHB1	14.0
PCDHB2	69.0
PCDHB3	295.0
PCDHB4	18.0
PCDHB5	66.0
PCDHB6	49.0
PCDHB7	157.0
PCDHB8	9.0
PCDHB16	66.0
PCDHB9	15.0
PCDHB10	153.0
PCDHB11	79.0
PCDHB12	20.0
PCDHB13	31.0
PCDHB14	131.0
PCDHB15	103.0
TAF7	1363.0
SLC25A2	0.0
PCDHGA1	2.0
PCDHGA2	5.0
PCDHGA3	0.0
PCDHGB1	0.0
PCDHGA4	0.0
PCDHGB2	1.0
PCDHGA5	3.0
PCDHGB3	0.0
PCDHGA6	21.0
PCDHGA7	3.0
PCDHGB4	2.0
PCDHGA8	3.0
PCDHGB5	0.0
PCDHGA9	1.0
PCDHGB6	6.0
PCDHGA10	9.0
PCDHGB7	1.0
PCDHGA11	6.0
PCDHGA12	0.0
PCDHGC3	1.0
PCDHGC4	0.0
PCDHGC5	0.0
DIAPH1	344.0
HDAC3	337.0
RELL2	10.0
FCHSD1	59.0
ARAP3	101.0
PCDH1	195.0
DELE1	188.0
PCDH12	30.0
RNF14	206.0
GNPDA1	174.0
NDFIP1	954.0
SPRY4	208.0
FGF1	44.0
ARHGAP26	100.0
NR3C1	177.0
HMHB1	0.0
YIPF5	446.0
KCTD16	4.0
PRELID2	26.0
GRXCR2	1.0
SH3RF2	12.0
PLAC8L1	3.0
LARS1	333.0
RBM27	235.0
POU4F3	1.0
TCERG1	267.0
GPR151	0.0
PPP2R2B	7.0
STK32A	15.0
DPYSL3	559.0
JAKMIP2	2.0
SPINK1	8.0
SCGB3A2	1.0
C5orf46	20.0
SPINK5	39.0
SPINK14	0.0
SPINK6	0.0
MARCOL	0.0
SPINK13	1.0
SPINK7	0.0
SPINK9	0.0
FBXO38	153.0
HTR4	0.0
ADRB2	0.0
SH3TC2	0.0
ABLIM3	5.0
AFAP1L1	33.0
GRPEL2	135.0
PCYOX1L	25.0
IL17B	1.0
CSNK1A1	918.0
ARHGEF37	43.0
PPARGC1B	86.0
PDE6A	4.0
SLC26A2	157.0
TIGD6	37.0
HMGXB3	175.0
CSF1R	259.0
PDGFRB	390.0
CDX1	2.0
SLC6A7	0.0
CAMK2A	4.0
ARSI	52.0
TCOF1	115.0
CD74	1807.0
RPS14	23431.0
NDST1	110.0
SYNPO	116.0
MYOZ3	1.0
RBM22	205.0
DCTN4	371.0
SMIM3	442.0
IRGM	1.0
ZNF300	22.0
GPX3	541.0
TNIP1	517.0
ANXA6	346.0
CCDC69	32.0
GM2A	232.0
SLC36A3	0.0
SLC36A2	0.0
SLC36A1	39.0
FAT2	16.0
SPARC	15154.0
ATOX1	1026.0
G3BP1	519.0
GLRA1	0.0
NMUR2	0.0
GRIA1	0.0
FAM114A2	94.0
MFAP3	204.0
GALNT10	139.0
SAP30L	183.0
HAND1	1.0
LARP1	812.0
FAXDC2	59.0
CNOT8	469.0
GEMIN5	132.0
MRPL22	515.0
KIF4B	0.0
SGCD	49.0
PPP1R2B	1.0
TIMD4	11.0
HAVCR1	1.0
HAVCR2	93.0
MED7	149.0
ITK	2.0
GARIN3	0.0
CYFIP2	75.0
FNDC9	0.0
ADAM19	49.0
NIPAL4	1.0
SOX30	0.0
C5orf52	0.0
THG1L	72.0
LSM11	34.0
CLINT1	464.0
EBF1	16.0
RNF145	355.0
UBLCP1	231.0
IL12B	0.0
ADRA1B	51.0
TTC1	230.0
PWWP2A	106.0
FABP6	40.0
CCNJL	11.0
C1QTNF2	5.0
FAM200C	90.0
SLU7	460.0
PTTG1	230.0
ATP10B	17.0
GABRB2	20.0
GABRA6	0.0
GABRA1	0.0
GABRG2	1.0
CCNG1	396.0
NUDCD2	424.0
HMMR	82.0
MAT2B	469.0
TENM2	1.0
WWC1	297.0
RARS1	403.0
FBLL1	2.0
PANK3	305.0
SLIT3	162.0
SPDL1	110.0
DOCK2	51.0
INSYN2B	6.0
FOXI1	0.0
C5orf58	2.0
LCP2	47.0
KCNIP1	1.0
KCNMB1	5.0
GABRP	5.0
RANBP17	10.0
TLX3	0.0
NPM1	2796.0
FGF18	417.0
SMIM23	0.0
FBXW11	254.0
STK10	155.0
EFCAB9	0.0
UBTD2	287.0
SH3PXD2B	190.0
NEURL1B	18.0
DUSP1	482.0
ERGIC1	699.0
RPL26L1	606.0
ATP6V0E1	2017.0
CREBRF	152.0
BNIP1	73.0
NKX2-5	20.0
STC2	121.0
BOD1	376.0
CPEB4	144.0
C5orf47	0.0
NSG2	1.0
MSX2	5.0
DRD1	0.0
SFXN1	192.0
HRH2	20.0
CPLX2	1.0
THOC3	86.0
SIMC1	63.0
KIAA1191	423.0
ARL10	48.0
NOP16	292.0
HIGD2A	1204.0
CLTB	255.0
FAF2	228.0
RNF44	370.0
CDHR2	0.0
GPRIN1	17.0
SNCB	13.0
EIF4E1B	1.0
TSPAN17	258.0
UNC5A	19.0
HK3	74.0
UIMC1	79.0
ZNF346	47.0
FGFR4	19.0
NSD1	181.0
RAB24	134.0
MXD3	122.0
PRELID1	602.0
LMAN2	740.0
RGS14	132.0
SLC34A1	0.0
PFN3	0.0
F12	81.0
GRK6	110.0
PRR7	73.0
DBN1	337.0
PDLIM7	232.0
DOK3	42.0
DDX41	175.0
FAM193B	235.0
TMED9	1281.0
B4GALT7	331.0
FAM153A	9.0
PROP1	0.0
N4BP3	30.0
RMND5B	109.0
NHP2	1791.0
GMCL2	0.0
HNRNPAB	580.0
PHYKPL	212.0
COL23A1	155.0
CLK4	204.0
MSANTD5	0.0
ZNF354A	57.0
ZNF354B	33.0
ZFP2	2.0
ZNF454	2.0
GRM6	0.0
ZNF879	14.0
ZNF354C	38.0
ADAMTS2	192.0
RUFY1	99.0
HNRNPH1	1738.0
CBY3	0.0
CANX	2888.0
MAML1	151.0
LTC4S	10.0
MGAT4B	463.0
SQSTM1	2408.0
MRNIP	103.0
TBC1D9B	260.0
RNF130	377.0
RASGEF1C	1.0
MAPK9	127.0
GFPT2	113.0
CNOT6	296.0
SCGB3A1	65.0
FLT4	15.0
OR2Y1	0.0
MGAT1	1307.0
ZFP62	107.0
BTNL8	7.0
BTNL3	0.0
BTNL9	268.0
OR2V1	0.0
OR2V2	0.0
TRIM7	3.0
TRIM41	98.0
RACK1	6028.0
TRIM52	110.0
OR4F3	0.0
DUSP22	344.0
IRF4	0.0
EXOC2	118.0
HUS1B	0.0
FOXQ1	32.0
FOXF2	23.0
FOXC1	85.0
GMDS	67.0
MYLK4	9.0
WRNIP1	447.0
SERPINB1	1117.0
SERPINB9	97.0
SERPINB6	395.0
NQO2	150.0
RIPK1	182.0
BPHL	187.0
TUBB2A	106.0
TUBB2B	5.0
PSMG4	326.0
SLC22A23	128.0
PXDC1	235.0
FAM50B	244.0
PRPF4B	770.0
FAM217A	0.0
ECI2	292.0
CDYL	286.0
RPP40	70.0
PPP1R3G	103.0
LYRM4	360.0
FARS2	95.0
NRN1	3.0
F13A1	71.0
LY86	38.0
RREB1	246.0
SSR1	1456.0
CAGE1	19.0
RIOK1	190.0
DSP	794.0
SNRNP48	82.0
BMP6	14.0
TXNDC5	890.0
BLOC1S5	151.0
EEF1E1	489.0
SLC35B3	332.0
TFAP2A	144.0
GCNT2	54.0
C6orf52	28.0
PAK1IP1	229.0
TMEM14C	3190.0
TMEM14B	2840.0
MAK	11.0
GCM2	0.0
SYCP2L	5.0
ELOVL2	17.0
SMIM13	328.0
ERVFRD-1	0.0
NEDD9	1644.0
TMEM170B	168.0
ADTRP	1.0
HIVEP1	112.0
EDN1	42.0
PHACTR1	508.0
TBC1D7	249.0
GFOD1	144.0
SIRT5	465.0
NOL7	927.0
RANBP9	395.0
MCUR1	246.0
RNF182	4.0
CD83	87.0
JARID2	140.0
DTNBP1	204.0
MYLIP	302.0
GMPR	244.0
ATXN1	319.0
ENSG00000288708	0.0
STMND1	0.0
RBM24	11.0
CAP2	111.0
FAM8A1	212.0
NUP153	416.0
KIF13A	236.0
NHLRC1	80.0
TPMT	264.0
KDM1B	172.0
DEK	1115.0
RNF144B	360.0
ID4	220.0
MBOAT1	378.0
E2F3	226.0
CDKAL1	62.0
SOX4	1549.0
PRL	3.0
HDGFL1	1.0
NRSN1	0.0
DCDC2	410.0
MRS2	332.0
GPLD1	25.0
ALDH5A1	139.0
KIAA0319	2.0
TDP2	354.0
ACOT13	449.0
C6orf62	1338.0
GMNN	318.0
ARMH2	0.0
RIPOR2	42.0
CARMIL1	137.0
SCGN	0.0
H2AC1	0.0
H2BC1	0.0
SLC17A4	0.0
SLC17A1	0.0
SLC17A3	0.0
SLC17A2	0.0
TRIM38	260.0
H1-1	0.0
H3C1	0.0
H4C1	0.0
H4C2	2.0
H3C2	0.0
H2AC4	0.0
H2BC3	1.0
H3C3	1.0
H1-2	2876.0
H2BC4	95.0
HFE	103.0
H4C3	29.0
H1-6	1.0
H2AC6	938.0
H1-4	6.0
H2BC5	190.0
H2BC6	8.0
H4C4	0.0
H3C4	34.0
H2AC7	0.0
H2BC7	2.0
H4C5	4.0
H2BC8	9.0
H2AC8	215.0
H3C6	54.0
H1-3	3.0
H4C6	0.0
H4C7	0.0
H3C7	1.0
H2BC9	16.0
H3C8	19.0
H2BC10	1.0
H4C8	165.0
BTN3A2	72.0
BTN2A2	77.0
BTN3A1	125.0
BTN3A3	83.0
BTN2A1	220.0
BTN1A1	0.0
HMGN4	328.0
ABT1	264.0
ZNF322	266.0
H2BC11	44.0
H2AC11	1.0
H4C9	0.0
H2BC12	6.0
H2AC12	0.0
PRSS16	78.0
POM121L2	1.0
ZNF391	38.0
ZNF184	51.0
H2BC13	2.0
H2AC13	12.0
H3C10	84.0
H2AC14	5.0
H2BC14	1.0
H4C11	46.0
H4C12	4.0
H2AC15	0.0
H2BC15	39.0
H2AC16	0.0
H1-5	0.0
H3C11	0.0
H4C13	2.0
H3C12	0.0
H2AC17	20.0
H2BC17	1.0
OR2B2	0.0
OR2B6	0.0
OR2B8P	0.0
ZNF165	22.0
ZSCAN16	67.0
ZKSCAN8	152.0
ZKSCAN8P1	9.0
ZSCAN9	100.0
ZKSCAN4	72.0
NKAPL	0.0
ZSCAN26	108.0
PGBD1	28.0
ZSCAN31	98.0
ZKSCAN3	44.0
ZSCAN12	80.0
ZSCAN23	2.0
GPX6	0.0
GPX5	0.0
SCAND3	59.0
TRIM27	589.0
LINC01556	27.0
ZNF311	30.0
OR2W1	0.0
OR2B3	0.0
OR2J1	0.0
OR2J3	0.0
OR2J2	0.0
OR14J1	0.0
OR5V1	0.0
OR12D3	0.0
OR12D2	0.0
OR12D1	0.0
OR11A1	0.0
OR10C1	0.0
OR2H1	0.0
MAS1L	0.0
OR2I1P	7.0
UBD	65.0
GABBR1	95.0
OR2H2	0.0
MOG	0.0
ZFP57	6.0
HLA-F	501.0
HLA-G	18.0
HLA-A	5352.0
POLR1H	468.0
PPP1R11	217.0
RNF39	1.0
TRIM31	2.0
TRIM40	0.0
TRIM10	0.0
TRIM15	5.0
TRIM26	211.0
TRIM39	51.0
RPP21	989.0
HLA-E	1690.0
GNL1	366.0
PRR3	93.0
ABCF1	305.0
PPP1R10	101.0
MRPS18B	837.0
ATAT1	64.0
C6orf136	104.0
DHX16	267.0
PPP1R18	149.0
NRM	74.0
MDC1	140.0
TUBB	2407.0
FLOT1	1494.0
IER3	211.0
DDR1	1238.0
GTF2H4	185.0
VARS2	162.0
SFTA2	20.0
MUCL3	0.0
MUC21	0.0
MUC22	0.0
HCG22	1.0
C6orf15	7.0
PSORS1C1	41.0
CDSN	9.0
PSORS1C2	0.0
CCHCR1	170.0
TCF19	117.0
POU5F1	6.0
HLA-C	8985.0
HLA-B	10297.0
MICA	272.0
MICB	31.0
MCCD1	6.0
DDX39B	739.0
ATP6V1G2	11.0
NFKBIL1	135.0
LTA	0.0
TNF	25.0
LTB	62.0
LST1	110.0
NCR3	1.0
AIF1	310.0
PRRC2A	600.0
ENSG00000291302	0.0
ENSG00000289282	0.0
BAG6	727.0
APOM	11.0
C6orf47	97.0
GPANK1	134.0
CSNK2B	873.0
LY6G5B	19.0
LY6G5C	13.0
ABHD16A	430.0
LY6G6F	0.0
LY6G6D	2.0
MPIG6B	4.0
LY6G6C	12.0
DDAH2	848.0
CLIC1	2233.0
MSH5	43.0
SAPCD1	41.0
VWA7	9.0
VARS1	338.0
LSM2	1403.0
HSPA1L	10.0
HSPA1A	160.0
HSPA1B	438.0
SNHG32	1956.0
NEU1	328.0
SLC44A4	194.0
EHMT2	166.0
C2	401.0
ZBTB12	3.0
CFB	1363.0
NELFE	879.0
SKIC2	298.0
DXO	67.0
STK19	230.0
C4A	7.0
C4B	10.0
CYP21A2	4.0
TNXB	32.0
ATF6B	177.0
FKBPL	49.0
PRRT1	9.0
PPT2	71.0
EGFL8	90.0
AGPAT1	278.0
RNF5	443.0
AGER	27.0
PBX2	114.0
GPSM3	72.0
NOTCH4	27.0
TSBP1	0.0
BTNL2	0.0
HLA-DRA	2601.0
HLA-DRB5	14.0
HLA-DRB1	2259.0
HLA-DQA1	153.0
HLA-DQB1	487.0
HLA-DQA2	1.0
HLA-DQB2	1.0
HLA-DOB	46.0
